TckrSymb,0FUT ,"CE,ATM ","CE,I 1-5 ","CE,I >5 ","CE,O 1-5 ","CE,O >5 ","PE,ATM ","PE,I 1-5 ","PE,I >5 ","PE,O 1-5 ","PE,O >5 ",UndrlygPric,TradDt
ASHOKLEY,-289,-31,245,-45,-71,347,117,102,18,260,107,209.05,2025-04-01
ASHOKLEY,-640,11,-47,0,-94,48,51,25,15,98,53,208.75,2025-04-02
ASHOKLEY,-484,33,-44,-2,98,164,177,19,25,176,-46,209.95,2025-04-03
ASIANPAINT,-597,30,-94,22,1863,849,160,-13,180,227,703,2340.45,2025-03-28
ASIANPAINT,-25,-344,83,6,1368,1038,114,119,70,296,648,2316,2025-04-01
ASIANPAINT,236,122,69,9,1181,337,52,-72,12,900,102,2306.65,2025-04-02
ASIANPAINT,-965,135,428,21,175,564,-2,1,2,-100,161,2349.4,2025-04-03
ASTRAL,-46,50,32,12,363,306,110,66,31,427,55,1294.1,2025-03-28
ASTRAL,-139,86,20,0,228,87,30,74,-3,3,-7,1309.45,2025-04-01
ASTRAL,-296,-58,-249,0,114,252,24,7,-1,10,225,1340.65,2025-04-02
ASTRAL,-80,488,-63,0,531,44,76,59,1,69,45,1358.35,2025-04-03
ATGL,-42,58,18,9,340,269,6,107,0,232,99,602.45,2025-03-28
ATGL,-215,18,44,3,59,18,-9,-53,10,137,160,592.15,2025-04-01
ATGL,-58,-3,23,3,46,49,0,1,1,30,67,598.75,2025-04-02
ATGL,71,21,13,2,113,44,8,1,0,67,86,605.05,2025-04-03
AUBANK,-765,79,66,53,188,561,28,69,-59,929,1890,534.6,2025-03-28
AUBANK,-652,-16,8,13,177,249,-72,-51,-27,-54,44,529.9,2025-04-01
AUBANK,-556,34,238,28,701,310,-13,-4,7,563,-150,539.5,2025-04-02
AUBANK,-666,-191,-230,-57,-89,143,120,67,56,657,-780,563.45,2025-04-03
AUROPHARMA,90,82,17,2,597,197,50,54,0,400,287,1160.5,2025-03-28
AUROPHARMA,518,19,37,,508,299,35,75,23,420,226,1134.15,2025-04-01
AUROPHARMA,328,23,28,6,308,139,86,-4,7,278,271,1157.85,2025-04-02
AUROPHARMA,357,-2,-58,0,3471,3887,298,1570,58,1091,-52,1176.35,2025-04-03
AXISBANK,-70,1162,239,21,887,5309,69,66,309,838,2705,1102,2025-03-28
AXISBANK,60,366,203,-12,1244,369,41,124,26,316,-263,1085.6,2025-04-01
AXISBANK,322,16,4,-3,503,-622,88,-57,143,111,656,1084.45,2025-04-02
AXISBANK,1173,10,150,2,714,-56,255,-54,-36,243,129,1089.85,2025-04-03
BAJAJ-AUTO,985,32,35,1,678,1304,-46,54,48,281,258,7878.75,2025-03-28
BAJAJ-AUTO,80,-5,130,0,689,763,422,200,-3,417,215,7993.05,2025-04-01
BAJAJ-AUTO,80,-308,35,-6,969,390,71,60,15,183,425,8072.9,2025-04-02
