TckrSymb,0FUT ,"CE,ATM ","CE,I 1-5 ","CE,I >5 ","CE,O 1-5 ","CE,O >5 ","PE,ATM ","PE,I 1-5 ","PE,I >5 ","PE,O 1-5 ","PE,O >5 ",UndrlygPric,TradDt
HAL,-312,-101,-138,1,4211,6976,137,1447,386,491,815,4223.6,2025-04-01
HAL,-798,104,53,-59,646,593,68,-33,59,1145,753,4234.4,2025-04-02
HAL,758,75,-497,-68,-7,313,240,257,1,1686,-91,4319.2,2025-04-03
HAVELLS,-56,-36,-60,4,337,319,23,80,8,225,78,1528.85,2025-03-28
HAVELLS,-339,77,-4,17,267,7,-1,9,11,150,188,1501.3,2025-04-01
HAVELLS,-111,10,27,2,41,29,44,26,4,121,91,1510.45,2025-04-02
HAVELLS,111,-34,1,0,59,80,140,32,-1,11,-3,1518.7,2025-04-03
HCLTECH,-84,27,59,6,616,1142,-14,41,84,557,903,1592.5,2025-03-28
HCLTECH,1700,140,122,0,1162,800,123,134,74,393,796,1530.35,2025-04-01
HCLTECH,726,200,127,22,409,916,-8,-178,-8,182,330,1527.55,2025-04-02
HCLTECH,1636,267,181,0,2068,1441,389,50,-47,574,981,1470.1,2025-04-03
HDFCAMC,-287,3,26,0,304,323,21,25,21,194,98,4013.9,2025-03-28
HDFCAMC,-68,10,41,0,179,189,8,36,19,125,71,3976.55,2025-04-01
HDFCAMC,16,71,79,0,-50,149,-31,6,2,96,77,4075.35,2025-04-02
HDFCAMC,-411,3,1,0,209,82,24,59,6,44,27,4043.7,2025-04-03
HDFCBANK,-1220,356,238,-2,1434,1603,19,17,9,1326,1225,1828.2,2025-03-28
HDFCBANK,2214,126,128,0,7491,2072,290,-1727,66,374,1122,1767.8,2025-04-01
HDFCBANK,-2071,316,-226,7,-1734,290,599,44,5,1616,1005,1796.9,2025-04-02
HDFCBANK,-161,-644,39,0,1693,828,365,9,0,807,156,1794.8,2025-04-03
HDFCLIFE,939,71,137,20,862,738,76,50,15,254,402,685.7,2025-03-28
HDFCLIFE,231,-9,-351,17,2416,1247,62,243,10,275,402,692.9,2025-04-01
HDFCLIFE,443,-1,-8,5,286,808,207,86,9,136,419,696.15,2025-04-02
HDFCLIFE,69,38,32,-1,919,724,42,50,7,115,301,692.9,2025-04-03
HEROMOTOCO,5,-111,38,-1,2008,1721,183,531,145,308,624,3722.95,2025-03-28
HEROMOTOCO,253,69,-70,0,192,808,123,181,-4,373,317,3762.05,2025-04-01
HEROMOTOCO,-879,55,-4,-1,672,103,6,89,1,59,216,3783.9,2025-04-02
HEROMOTOCO,-196,184,141,-2,920,240,384,84,0,356,-59,3753.25,2025-04-03
HFCL,157,18,48,0,56,314,51,84,42,97,169,79.1,2025-03-28
HFCL,-96,93,1,2,156,222,0,77,13,49,38,80.77,2025-04-01
HFCL,13,38,159,2,53,83,9,-36,9,149,80,81.75,2025-04-02
HFCL,280,14,-83,5,43,101,3,-19,2,11,73,83.22,2025-04-03
HINDALCO,199,59,180,40,1103,418,107,62,25,894,640,682.45,2025-03-28
HINDALCO,1325,90,200,8,2583,282,24,-25,14,85,452,663.75,2025-04-01
HINDALCO,755,169,120,12,375,101,-13,-205,-2,314,254,661.2,2025-04-02
HINDALCO,625,123,101,0,618,248,9,-170,-5,77,401,652.65,2025-04-03
HINDCOPPER,978,55,45,0,511,174,47,140,223,230,78,220.8,2025-03-28
HINDCOPPER,234,33,19,,142,48,21,20,0,18,27,222,2025-04-01
HINDCOPPER,80,183,44,0,539,65,58,57,3,201,23,226.55,2025-04-02
HINDCOPPER,544,10,3,,173,-60,29,55,4,76,8,224.75,2025-04-03
HINDPETRO,-463,53,38,17,1257,315,84,300,80,191,129,360.35,2025-03-28
HINDPETRO,-308,0,-2,8,-26,93,-11,-40,22,47,185,361.7,2025-04-01
HINDPETRO,-60,34,20,3,-140,118,-11,-2,8,115,122,362.15,2025-04-02
HINDPETRO,122,34,-30,-5,344,181,91,103,3,108,133,362.45,2025-04-03
HINDUNILVR,497,41,34,8,1142,1216,129,324,116,349,961,2258.85,2025-03-28
HINDUNILVR,496,51,59,60,627,544,-5,-256,20,118,466,2233.85,2025-04-01
HINDUNILVR,-962,171,177,44,924,556,66,-187,26,713,846,2237.9,2025-04-02
HINDUNILVR,50,86,2,5,189,85,29,-90,-13,14,-55,2244.55,2025-04-03
HINDZINC,992,108,27,0,571,44,2,4,0,177,31,461.9,2025-03-28
HINDZINC,358,19,0,,69,69,66,14,0,113,8,453.75,2025-04-01
HINDZINC,189,4,57,0,47,-8,1,1,,100,27,460.65,2025-04-02
HINDZINC,490,12,3,,147,68,5,46,0,111,-1,459.2,2025-04-03
HUDCO,903,13,39,1,317,149,91,45,18,62,-31,199.45,2025-03-28
HUDCO,-379,43,32,6,233,198,3,30,6,277,-6,206.4,2025-04-01
HUDCO,27,22,58,0,-100,-7,-2,9,0,-31,23,205.85,2025-04-02
HUDCO,-147,-1,7,3,592,-19,81,47,2,57,9,209.95,2025-04-03
ICICIBANK,1459,161,203,305,797,2392,215,242,70,1321,2394,1348.35,2025-03-28
ICICIBANK,3045,35,118,5,1442,1624,1,96,120,-87,911,1318.45,2025-04-01
ICICIBANK,602,-114,42,67,15,399,101,81,68,583,1298,1331.25,2025-04-02
ICICIBANK,-475,137,166,76,1533,704,315,353,-3,273,403,1329.55,2025-04-03
ICICIGI,-548,74,135,0,260,257,234,66,19,322,74,1792.85,2025-03-28
ICICIGI,-411,35,75,8,130,112,30,43,1,91,39,1791.9,2025-04-01
ICICIGI,-373,56,-25,-4,55,76,33,5,8,178,30,1829.95,2025-04-02
ICICIGI,-55,18,-23,0,90,130,57,-1,2,122,84,1831.05,2025-04-03
ICICIPRULI,2158,20,58,14,353,656,42,160,83,278,372,564.35,2025-03-28
ICICIPRULI,672,-5,57,6,165,133,30,88,-13,57,112,569.05,2025-04-01
ICICIPRULI,712,62,21,0,-15,146,-2,27,12,220,164,563.35,2025-04-02
ICICIPRULI,1330,51,29,42,133,105,15,23,-8,90,102,562.85,2025-04-03
IDEA,3013,231,,9,,2951,678,,228,,492,6.8,2025-03-28
IDEA,-3500,831,,-717,,9010,98,,223,,2243,8.1,2025-04-01
IDEA,-918,-144,,-25,,410,126,,43,,410,8.22,2025-04-02
IDEA,-108,-86,,80,,259,91,,-36,,225,8.19,2025-04-03
IDFCFIRSTB,2087,68,135,5,1910,1299,215,536,124,915,398,54.96,2025-03-28
IDFCFIRSTB,3455,-196,-177,25,1561,106,27,167,20,849,5,57.17,2025-04-01
IDFCFIRSTB,2864,139,23,4,444,81,126,-56,22,535,338,57.19,2025-04-02
IDFCFIRSTB,6873,-389,-493,-95,1746,1175,176,480,16,1193,-445,60.35,2025-04-03
IEX,-42,59,100,40,226,200,44,127,27,301,441,175.75,2025-03-28
IEX,235,8,13,-2,99,104,32,67,5,60,212,176.75,2025-04-01
IEX,69,22,23,-11,18,129,7,13,3,88,47,178,2025-04-02
IEX,105,30,-32,-18,298,214,64,67,2,167,-58,182.05,2025-04-03
IGL,-323,132,116,84,692,232,44,118,38,240,439,203.1,2025-03-28
IGL,326,81,8,12,212,94,-4,58,-9,87,25,201.4,2025-04-01
IGL,-135,-8,48,-12,-177,146,0,19,4,112,-7,202.95,2025-04-02
IGL,155,21,-167,20,480,226,35,33,20,26,-30,207.85,2025-04-03
IIFL,71,3,19,32,263,47,199,7,1,36,64,327.65,2025-03-28
IIFL,290,-2,5,-1,-12,89,4,18,14,8,1,324.9,2025-04-01
IIFL,167,18,62,1,136,20,14,0,0,1,2,335.75,2025-04-02
IIFL,410,122,-41,-7,341,11,0,-3,,211,63,350.55,2025-04-03
INDHOTEL,-373,33,112,1,270,469,58,64,23,144,392,787.55,2025-03-28
INDHOTEL,82,47,-36,22,369,470,-3,27,-1,-41,232,805.75,2025-04-01
INDHOTEL,372,206,-496,-2,135,388,47,22,9,545,171,830.15,2025-04-02
INDHOTEL,-254,64,-68,-1,227,271,16,8,1,31,88,831,2025-04-03
INDIANB,-13,13,32,0,521,140,46,48,1,102,82,541.3,2025-03-28
INDIANB,85,-6,1,0,70,4,14,-19,0,126,9,530.95,2025-04-01
INDIANB,-54,10,0,,-32,-5,23,-7,0,134,0,529.7,2025-04-02
INDIANB,41,-23,-4,0,-37,6,33,51,2,109,-98,549.2,2025-04-03
INDIGO,-765,-20,-132,-248,218,424,31,-117,31,-43,535,5115.35,2025-03-28
INDIGO,652,91,-24,-4,622,797,15,-16,-8,95,4,5028,2025-04-01
INDIGO,154,-31,-57,-27,-42,213,61,2,11,69,115,5068.25,2025-04-02
INDIGO,1157,204,53,-22,540,-145,41,-51,-4,221,238,5003.6,2025-04-03
INDUSINDBK,4829,734,616,61,2395,8713,482,1004,765,4013,7134,649.85,2025-03-28
INDUSINDBK,-1199,310,-2278,-37,718,1100,503,542,642,1251,174,682.7,2025-04-01
INDUSINDBK,3765,592,-1400,-1003,1024,323,248,319,130,780,-1393,702.45,2025-04-02
INDUSINDBK,-318,-1168,-168,-16,1608,-379,847,419,44,377,-1652,709.4,2025-04-03
INDUSTOWER,1343,23,65,128,759,190,98,369,44,49,333,334.3,2025-03-28
INDUSTOWER,-260,347,-624,2,1144,1592,339,445,41,614,678,352.45,2025-04-01
INDUSTOWER,-705,-113,-785,-14,282,32,35,94,29,79,-148,361.3,2025-04-02
INDUSTOWER,-102,18,-214,-10,159,-62,-41,21,3,23,-21,358,2025-04-03
INFY,686,175,502,50,3417,3114,478,-367,90,981,2143,1570.65,2025-03-28
INFY,1193,3111,604,269,3759,2369,226,-207,-8,9714,10794,1526.5,2025-04-01
INFY,-3373,-326,12,-2,1081,890,76,-135,39,603,-210,1550.15,2025-04-02
INFY,884,345,255,27,5500,4608,-16,-775,-49,891,2418,1496.5,2025-04-03
INOXWIND,986,10,,1,,349,50,,23,,39,163.05,2025-03-28
INOXWIND,247,0,,6,,87,9,,22,,80,156.75,2025-04-01
INOXWIND,30,7,,1,,23,1,,0,,37,160,2025-04-02
INOXWIND,154,0,,0,,64,38,,-1,,5,158.55,2025-04-03
IOC,1031,22,45,34,412,1213,62,218,256,333,477,127.7,2025-03-28
IOC,-470,68,-58,52,42,183,23,29,71,239,548,131.25,2025-04-01
IOC,-182,2,-46,81,134,334,31,45,-8,119,358,131.3,2025-04-02
IOC,37,29,52,9,234,160,31,140,-38,70,110,131.05,2025-04-03
IRB,59,16,20,0,635,154,87,76,19,190,11,45.16,2025-03-28
IRB,46,13,71,2,191,64,5,7,0,88,74,46.01,2025-04-01
IRB,-3,-20,12,0,35,90,7,11,0,118,11,46.85,2025-04-02
IRB,-114,30,-33,3,254,35,6,3,0,63,18,47.59,2025-04-03
IRCTC,-232,6,64,58,272,1305,38,169,85,234,40,727.45,2025-03-28
IRCTC,389,28,-3,-9,208,155,32,54,3,92,58,724.25,2025-04-01
IRCTC,414,15,15,8,439,86,-1,26,-5,23,29,727.45,2025-04-02
IRCTC,-124,-9,-55,1,112,99,40,47,-4,142,27,738.25,2025-04-03
IREDA,277,18,-13,36,437,434,14,85,18,141,366,160.6,2025-03-28
IREDA,281,27,2,12,261,112,5,24,1,42,124,160.7,2025-04-01
IREDA,-240,-16,-3,-18,-165,-39,0,11,0,55,-58,161.4,2025-04-02
IREDA,-169,31,-130,-1,-216,61,5,73,-3,107,-119,161.5,2025-04-03
IRFC,-69,18,12,50,429,378,79,207,64,312,66,124.4,2025-03-28
IRFC,-133,20,22,0,144,478,-3,109,16,195,-6,124.4,2025-04-01
IRFC,-693,-71,6,-8,-518,42,12,54,-6,202,-106,127.5,2025-04-02
IRFC,-224,36,-62,1,88,74,155,86,-2,337,-64,129.15,2025-04-03
ITC,1201,63,2,1,2090,1438,186,472,106,353,393,409.75,2025-03-28
ITC,2490,-4,127,-11,3441,427,-221,-26,32,383,110,406.65,2025-04-01
ITC,-254,-4,-21,9,2161,-258,155,-3,-7,245,-32,409.05,2025-04-02
ITC,-153,1,62,-8,344,177,-38,115,-7,-116,10,409.4,2025-04-03
JINDALSTEL,-347,76,87,1,555,353,161,132,20,384,345,912.3,2025-03-28
JINDALSTEL,186,46,22,12,449,253,9,93,10,189,107,901.5,2025-04-01
JINDALSTEL,277,55,-8,2,512,-48,17,18,1,605,109,909.55,2025-04-02
JINDALSTEL,983,104,34,0,560,196,25,26,-2,151,-33,905.2,2025-04-03
JIOFIN,-559,143,346,52,807,1713,136,481,88,345,524,227.5,2025-03-28
JIOFIN,-964,73,-153,-139,942,1223,93,275,283,300,297,230.4,2025-04-01
JIOFIN,-1751,78,179,31,1422,602,78,145,45,-75,161,229.8,2025-04-02
JIOFIN,44,254,58,15,526,1059,49,60,36,532,278,230.4,2025-04-03
JSL,166,7,22,0,190,27,-2,2,3,59,-2,581.6,2025-03-28
JSL,-14,6,2,0,53,46,19,3,2,34,27,576.55,2025-04-01
JSL,-131,3,-2,0,147,72,-3,-29,-1,-11,24,589.9,2025-04-02
JSL,-44,44,9,0,-31,112,-2,11,0,117,-18,594.6,2025-04-03
JSWENERGY,759,2,13,28,366,244,54,57,53,238,16,537.9,2025-03-28
JSWENERGY,948,27,51,0,305,668,20,3,24,563,44,522.5,2025-04-01
JSWENERGY,504,31,26,0,486,177,174,-75,7,129,227,526.15,2025-04-02
JSWENERGY,944,20,8,0,146,333,42,50,14,76,-7,527.15,2025-04-03
JSWSTEEL,357,20,69,69,467,1043,77,122,1,411,512,1063.2,2025-03-28
JSWSTEEL,2005,346,-4,-1,515,769,112,168,6,403,320,1056.25,2025-04-01
JSWSTEEL,527,11,-5,1,107,189,-44,-28,-1,4,530,1055.9,2025-04-02
JSWSTEEL,437,48,23,0,182,81,5,-23,3,168,-29,1044,2025-04-03
JUBLFOOD,129,50,17,14,246,128,41,65,9,184,111,664.35,2025-03-28
JUBLFOOD,117,68,100,14,162,313,38,-7,5,153,169,660.85,2025-04-01
JUBLFOOD,325,189,-148,7,198,255,31,69,11,286,203,682.6,2025-04-02
JUBLFOOD,90,16,-206,-1,155,113,1,22,-1,198,191,692.7,2025-04-03
KALYANKJIL,492,19,89,0,350,134,132,182,20,448,6,467.25,2025-03-28
KALYANKJIL,-193,26,28,,597,684,-203,-150,8,1315,58,458.05,2025-04-01
KALYANKJIL,4607,264,-226,63,1910,1071,518,95,50,1754,1161,511.15,2025-04-02
KALYANKJIL,-468,-105,-96,-5,843,63,53,39,53,-84,144,509.1,2025-04-03
KEI,-706,15,70,6,13,-61,10,53,13,234,-91,2892.75,2025-03-28
KEI,-99,47,33,0,388,211,9,48,10,173,48,2829.35,2025-04-01
KEI,352,17,118,1,-21,58,22,0,-4,137,142,2880.1,2025-04-02
KEI,113,55,27,5,581,610,100,60,23,124,122,2824.35,2025-04-03
KOTAKBANK,483,313,58,155,1590,2018,170,104,107,2158,1886,2171.2,2025-03-28
KOTAKBANK,-165,43,223,-169,443,474,-33,-60,1,-429,582,2145.9,2025-04-01
KOTAKBANK,-764,96,74,9,267,561,-59,-194,0,465,209,2154.6,2025-04-02
KOTAKBANK,-132,64,18,-131,532,567,-37,-30,1,314,-289,2132.6,2025-04-03
KPITTECH,72,55,33,2,262,222,24,76,30,153,291,1307.45,2025-03-28
KPITTECH,91,27,17,0,127,71,102,36,20,-5,17,1270.6,2025-04-01
KPITTECH,-64,27,37,0,48,45,2,18,0,-15,-39,1312,2025-04-02
KPITTECH,1143,263,53,0,928,645,145,32,1,462,534,1211.15,2025-04-03
LAURUSLABS,-161,4,7,9,290,137,51,90,6,7,121,613.4,2025-03-28
LAURUSLABS,226,-1,13,7,347,231,52,7,4,183,150,598.9,2025-04-01
LAURUSLABS,-354,-6,19,1,314,210,12,0,-2,69,-12,609.05,2025-04-02
LAURUSLABS,271,32,-27,2,561,258,41,39,1,162,64,620.65,2025-04-03
LICHSGFIN,318,39,41,5,25,136,6,79,31,265,127,563.85,2025-03-28
LICHSGFIN,-51,26,4,0,370,52,44,4,0,110,36,561.45,2025-04-01
LICHSGFIN,-4,57,49,5,305,96,5,22,0,164,11,565.65,2025-04-02
LICHSGFIN,87,-56,-21,9,369,52,63,33,4,260,-54,573.3,2025-04-03
LICI,-163,-27,9,2,435,703,10,229,36,116,140,799.4,2025-03-28
LICI,55,-4,9,1,-43,193,32,-19,4,63,74,797.75,2025-04-01
LICI,-396,26,-17,5,756,9,-3,15,-2,63,56,810.95,2025-04-02
LICI,-165,21,-17,0,-193,188,51,11,-2,141,46,815.3,2025-04-03
LODHA,-26,2,7,12,135,63,32,67,24,125,35,1195.8,2025-03-28
LODHA,489,1,41,,233,180,16,36,26,131,103,1157.2,2025-04-01
LODHA,497,17,60,1,-73,50,13,23,0,70,24,1218.45,2025-04-02
LODHA,521,-1,37,6,-80,-61,-2,-8,2,151,-111,1217.75,2025-04-03
LT,1347,134,197,52,1212,2194,-178,313,433,842,867,3492.25,2025-03-28
LT,1813,61,46,-10,1255,2661,170,1322,78,417,1525,3436.8,2025-04-01
LT,526,-36,51,-9,820,2887,174,299,-14,321,803,3419.95,2025-04-02
LT,385,251,-69,49,7269,1311,88,49,109,49,686,3420.1,2025-04-03
LTF,258,72,171,20,219,96,11,81,11,280,132,153.2,2025-03-28
LTF,-88,105,69,5,128,117,49,125,5,177,122,150.9,2025-04-01
LTF,-34,-40,5,2,98,-2,2,6,-2,72,28,151.9,2025-04-02
LTF,-95,-25,-132,-5,123,7,9,-16,1,133,-105,153.95,2025-04-03
LTIM,759,2,57,0,817,744,447,185,77,395,977,4491.4,2025-03-28
LTIM,11,62,34,0,253,481,4,-120,0,140,24,4426.55,2025-04-01
LTIM,-354,28,2,2,38,235,-34,-27,-1,19,28,4499.9,2025-04-02
LTIM,816,63,11,4,1832,646,114,40,-17,417,381,4341.95,2025-04-03
LUPIN,25,61,69,19,421,661,69,58,9,287,358,2027.95,2025-03-28
LUPIN,1126,19,23,0,555,727,37,145,-3,401,515,1955.4,2025-04-01
LUPIN,58,26,61,3,222,482,15,43,2,262,309,2009.7,2025-04-02
LUPIN,85,4,-364,-114,810,2113,243,547,23,290,302,2095.7,2025-04-03
M&M,1588,1212,747,19,5135,2691,585,86,114,3612,1920,2665.8,2025-03-28
M&M,3276,47,104,0,1603,2068,-234,-227,15,164,310,2637.85,2025-04-01
M&M,1646,109,44,0,1138,997,70,128,-6,359,370,2637.55,2025-04-02
M&M,896,419,103,1,2289,818,256,444,-5,1022,18,2611.45,2025-04-03
M&MFIN,810,36,85,13,349,247,108,127,37,223,237,283,2025-03-28
M&MFIN,510,55,132,14,1232,87,193,-59,5,753,361,276.35,2025-04-01
M&MFIN,1074,38,88,,867,259,20,11,37,1048,195,268.65,2025-04-02
M&MFIN,1301,99,121,1,132,8,3,-103,41,220,-79,265.2,2025-04-03
MANAPPURAM,271,31,205,10,365,493,53,45,13,660,764,232.75,2025-03-28
MANAPPURAM,499,189,5,0,295,11,32,-6,25,552,252,232.1,2025-04-01
MANAPPURAM,343,20,10,1,737,60,64,16,-2,190,54,234.3,2025-04-02
MANAPPURAM,15,1,48,6,318,30,88,49,14,759,127,234.4,2025-04-03
MARICO,110,-19,-6,0,424,241,54,45,0,244,400,651.65,2025-03-28
MARICO,289,-20,-3,0,105,267,28,48,0,106,174,647.55,2025-04-01
MARICO,-396,-6,106,0,-2,14,45,36,0,351,-147,656.45,2025-04-02
MARICO,69,-71,-23,7,241,157,21,6,0,-2,181,660.95,2025-04-03
MARUTI,2464,769,426,0,3879,5143,-153,506,80,546,2578,11522.15,2025-03-28
MARUTI,508,206,586,78,2245,3339,-71,-290,115,1100,1064,11481,2025-04-01
MARUTI,-1854,-352,-557,42,-101,1000,-142,-44,-9,781,1265,11716.1,2025-04-02
MARUTI,-324,-89,-4,30,537,986,150,32,-32,153,-406,11688.1,2025-04-03
MAXHEALTH,589,11,12,0,767,294,41,241,9,422,55,1096.95,2025-03-28
MAXHEALTH,159,10,8,0,89,465,26,-51,2,-53,92,1083.6,2025-04-01
MAXHEALTH,290,27,12,0,201,633,26,8,0,67,205,1094.75,2025-04-02
MAXHEALTH,23,69,-82,14,181,188,11,-13,,227,93,1121.3,2025-04-03
MCX,544,32,33,0,1358,1150,47,61,79,702,83,5311.7,2025-03-28
MCX,-524,-6,33,0,561,142,55,153,-1,34,63,5227.85,2025-04-01
MCX,-1870,2,43,0,-21,128,75,11,1,445,94,5372.55,2025-04-02
MCX,-829,129,7,2,317,154,-85,-3,4,226,149,5334.55,2025-04-03
MFSL,26,23,5,0,116,91,32,56,8,153,164,1147.7,2025-03-28
MFSL,111,19,7,0,-1,-3,-10,-6,0,27,64,1141.75,2025-04-01
MFSL,50,6,4,0,1,92,6,-2,0,-24,82,1144.3,2025-04-02
MFSL,75,25,14,0,112,-29,12,9,0,44,18,1147.8,2025-04-03
MGL,303,32,53,0,250,182,11,38,21,291,8,1386.9,2025-03-28
MGL,320,34,4,4,54,133,50,36,4,63,-12,1385.7,2025-04-01
MGL,-259,-4,10,1,96,-82,48,19,1,55,-8,1387.9,2025-04-02
MGL,178,0,17,0,38,97,58,27,0,11,11,1396,2025-04-03
MOTHERSON,44,95,91,38,745,348,76,276,74,160,164,130.95,2025-03-28
MOTHERSON,-261,49,62,13,144,194,21,121,38,237,127,131.1,2025-04-01
MOTHERSON,-23,-33,46,-10,335,147,43,53,-10,417,82,132.2,2025-04-02
MOTHERSON,766,39,85,0,996,148,147,145,28,214,-14,128.95,2025-04-03
MPHASIS,223,-7,13,22,106,205,71,18,7,173,217,2500.2,2025-03-28
MPHASIS,303,12,18,4,122,88,68,-16,65,13,60,2446.75,2025-04-01
MPHASIS,146,12,-18,7,28,32,10,-10,12,-1,50,2474.4,2025-04-02
MPHASIS,-272,23,33,37,312,1141,52,191,-72,131,563,2374.05,2025-04-03
MRF,104,0,0,0,94,114,0,2,0,1,75,112674.45,2025-03-28
MRF,24,2,1,0,-28,80,1,4,0,22,45,113036.1,2025-04-01
MRF,-46,22,-10,0,11,166,0,0,0,20,78,115136.6,2025-04-02
MRF,-13,2,29,1,67,113,-4,0,2,7,87,114868.9,2025-04-03
MUTHOOTFIN,820,83,94,-2,329,603,32,46,3,220,487,2382.9,2025-03-28
MUTHOOTFIN,186,4,-9,-2,294,211,83,80,2,45,121,2338.8,2025-04-01
MUTHOOTFIN,388,47,-72,-5,157,15,22,59,-3,20,97,2342.8,2025-04-02
MUTHOOTFIN,58,45,1198,-740,161,178,77,46,4,304,240,2370.3,2025-04-03
NATIONALUM,864,110,113,,1115,491,98,148,19,502,72,175.55,2025-03-28
NATIONALUM,411,56,64,,261,98,22,37,30,271,11,175.3,2025-04-01
NATIONALUM,195,48,52,,558,118,33,-15,-1,429,,174.2,2025-04-02
NATIONALUM,660,107,49,,665,46,19,11,-1,144,18,172.65,2025-04-03
NAUKRI,279,27,27,27,217,289,27,37,49,153,83,7181.35,2025-03-28
NAUKRI,1024,125,63,0,593,662,36,56,4,454,418,6804.85,2025-04-01
NAUKRI,-220,19,59,0,91,81,-4,-2,0,72,8,6928.45,2025-04-02
NAUKRI,-318,62,41,3,399,839,78,-41,44,90,294,6734.4,2025-04-03
NBCC,-174,0,17,10,179,125,0,8,18,72,29,81.89,2025-03-28
NBCC,-11,0,-18,2,15,161,7,4,0,24,41,81.61,2025-04-01
NBCC,-61,21,54,9,23,71,0,18,2,7,100,82.89,2025-04-02
NBCC,121,17,1,-2,7,9,19,-1,1,18,33,84.41,2025-04-03
NCC,16,14,33,11,73,170,50,94,12,132,101,209.5,2025-03-28
NCC,94,4,-78,10,135,-10,50,50,2,124,663,213.25,2025-04-01
NCC,233,19,-104,9,183,58,90,19,7,208,-3,214,2025-04-02
NCC,-99,-9,-140,-2,448,242,149,24,0,42,-65,214.85,2025-04-03
NESTLEIND,36,114,54,9,740,647,236,276,42,233,572,2250.75,2025-03-28
NESTLEIND,428,54,38,3,255,383,13,-137,24,99,567,2233.95,2025-04-01
NESTLEIND,-331,309,439,14,725,378,60,-83,28,884,832,2210.7,2025-04-02
NESTLEIND,-531,-20,-40,-10,675,-26,96,-2,-1,158,171,2245.9,2025-04-03
NHPC,1182,30,91,8,846,1338,79,527,70,343,144,82.2,2025-03-28
NHPC,-431,42,-12,2,160,-40,10,25,5,22,86,82.14,2025-04-01
NHPC,-434,-19,28,2,-62,-214,-3,38,-24,58,24,83.69,2025-04-02
NHPC,-161,14,-3,1,24,-41,-13,4,-4,43,-60,84.53,2025-04-03
NMDC,-163,33,28,47,254,873,79,45,91,66,399,68.89,2025-03-28
NMDC,337,36,79,-12,392,323,73,27,47,153,455,69.77,2025-04-01
NMDC,-74,45,62,-1,79,63,13,20,-37,127,134,70.21,2025-04-02
NMDC,195,59,-90,3,120,201,5,23,-9,66,137,70.43,2025-04-03
NTPC,-406,110,128,16,3805,1214,730,96,143,472,810,357.6,2025-03-28
NTPC,-3466,210,248,-27,5195,1113,245,311,29,586,-1,352.15,2025-04-01
NTPC,816,-127,45,57,463,553,-154,-20,6,-29,78,351.75,2025-04-02
NTPC,-397,-19,-15,-11,7064,735,-15,444,15,704,90,358.9,2025-04-03
NYKAA,662,51,49,3,650,163,70,29,4,489,139,179.1,2025-03-28
NYKAA,312,11,9,0,179,23,34,2,0,3,44,179.85,2025-04-01
NYKAA,5,8,-6,2,-23,103,27,13,3,-19,30,179.9,2025-04-02
NYKAA,-247,-1,0,0,58,-7,-2,11,12,-6,10,179.35,2025-04-03
OBEROIRLTY,-60,5,19,0,253,268,109,102,19,299,132,1637.35,2025-03-28
OBEROIRLTY,360,46,58,0,227,349,72,46,64,214,280,1573.95,2025-04-01
OBEROIRLTY,-27,16,60,84,58,31,-7,30,5,72,24,1621.2,2025-04-02
OBEROIRLTY,121,16,-25,0,-32,33,-42,-1,-3,-26,207,1591,2025-04-03
OFSS,344,67,45,32,457,339,92,-6,105,311,250,7850.7,2025-03-28
OFSS,122,61,27,2,221,546,54,-14,30,406,227,7585.3,2025-04-01
OFSS,280,14,18,-23,425,21,-2,7,-11,240,288,7766.85,2025-04-02
OFSS,116,134,48,11,407,703,338,30,6,382,229,7581.5,2025-04-03
OIL,-47,31,26,0,504,136,38,35,1,170,12,386.75,2025-03-28
OIL,146,0,16,,-8,20,40,45,0,-50,18,385.45,2025-04-01
OIL,-149,0,47,0,90,32,25,0,0,115,12,392.1,2025-04-02
OIL,-199,11,22,,140,-7,0,4,1,15,12,386.05,2025-04-03
ONGC,5504,-266,-314,-11,7532,6346,178,1320,690,881,346,246.4,2025-03-28
ONGC,702,229,635,-51,7668,1527,402,406,10,972,326,248.1,2025-04-01
ONGC,-1169,606,110,-8,5824,800,277,724,-6,1211,128,250.65,2025-04-02
ONGC,-1724,-81,-37,3,1483,363,47,-1109,-66,-341,458,243.3,2025-04-03
PAGEIND,322,10,26,3,340,642,3,0,4,54,120,42694.65,2025-03-28
PAGEIND,-81,6,11,0,-28,15,0,3,1,74,49,42005.65,2025-04-01
PAGEIND,-455,-12,10,5,-126,77,-8,0,3,127,46,42992.35,2025-04-02
PAGEIND,-113,-45,1,2,-41,-98,22,-1,0,75,-15,43495.7,2025-04-03
PATANJALI,91,103,46,0,652,512,88,2,0,246,813,1808.4,2025-03-28
PATANJALI,-199,-10,-13,0,2,-84,123,99,0,51,244,1801.75,2025-04-01
PATANJALI,-144,-12,-41,0,144,75,3,20,0,70,-32,1824.6,2025-04-02
PATANJALI,1093,39,-25,6,686,1039,28,147,1,244,-170,1878.75,2025-04-03
PAYTM,-1500,67,59,12,1806,527,109,276,,557,59,783.45,2025-03-28
PAYTM,-1726,520,-10,41,1009,,55,63,,752,275,801.1,2025-04-01
PAYTM,-1655,-49,180,4,21,,75,3,,177,-48,817.95,2025-04-02
PAYTM,-1198,-137,-313,1,934,,226,6,,456,30,836.45,2025-04-03
PEL,-198,6,4,0,39,169,-14,5,0,152,12,987.85,2025-03-28
